2021-07-23 01:52:29,321 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140101176026880 | procn MainProcess | procd 32680
2021-07-23 01:52:29,352 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 140101176026880 | procn MainProcess | procd 32680
2021-07-23 01:52:29,354 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140101176026880 | procn MainProcess | procd 32680
2021-07-23 01:52:29,565 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140101094995712 | procn MainProcess | procd 32680
2021-07-23 01:59:42,430 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140265664751360 | procn MainProcess | procd 33346
2021-07-23 01:59:42,434 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140265656358656 | procn MainProcess | procd 33346
2021-07-23 01:59:42,449 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 140265656358656 | procn MainProcess | procd 33346
2021-07-23 01:59:42,453 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140265656358656 | procn MainProcess | procd 33346
2021-07-23 01:59:42,856 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140265578821376 | procn MainProcess | procd 33346
2021-07-23 02:00:00,031 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139826739431168 | procn MainProcess | procd 33365
2021-07-23 02:00:00,041 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139826731038464 | procn MainProcess | procd 33365
2021-07-23 02:00:00,045 --- [general] => INFO:20 (BASIC commands kick LOADED.) | thn basic_commands_thread | thd 139826731038464 | procn MainProcess | procd 33365
2021-07-23 02:00:00,050 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139826731038464 | procn MainProcess | procd 33365
2021-07-23 02:00:00,225 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139826722645760 | procn MainProcess | procd 33365
2021-07-23 02:01:24,759 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140461193406208 | procn MainProcess | procd 33609
2021-07-23 02:01:24,761 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140461185013504 | procn MainProcess | procd 33609
